Day,State,Weather
748,4,Дождь
749,4,Дождь
750,4,Дождь
751,4,Дождь
752,4,Дождь
753,4,Дождь
754,2,Облачно
755,2,Облачно
756,2,Облачно
757,2,Облачно
758,4,Дождь
759,3,Пасмурно
760,3,Пасмурно
761,3,Пасмурно
762,3,Пасмурно
763,3,Пасмурно
764,3,Пасмурно
765,3,Пасмурно
766,4,Дождь
767,4,Дождь
768,4,Дождь
769,4,Дождь
770,4,Дождь
771,4,Дождь
772,4,Дождь
773,4,Дождь
774,4,Дождь
775,4,Дождь
776,3,Пасмурно
777,3,Пасмурно
778,3,Пасмурно
779,1,Ясно
780,4,Дождь
781,4,Дождь
782,4,Дождь
783,4,Дождь
784,4,Дождь
785,3,Пасмурно
786,3,Пасмурно
787,3,Пасмурно
788,3,Пасмурно
789,2,Облачно
790,4,Дождь
791,4,Дождь
792,3,Пасмурно
793,3,Пасмурно
794,3,Пасмурно
795,3,Пасмурно
796,3,Пасмурно
797,3,Пасмурно
798,4,Дождь
799,4,Дождь
800,4,Дождь
801,4,Дождь
802,4,Дождь
803,4,Дождь
804,4,Дождь
805,2,Облачно
806,3,Пасмурно
807,3,Пасмурно
808,3,Пасмурно
809,3,Пасмурно
810,2,Облачно
811,2,Облачно
812,2,Облачно
813,2,Облачно
814,2,Облачно
815,2,Облачно
816,2,Облачно
817,2,Облачно
818,4,Дождь
819,4,Дождь
820,2,Облачно
821,2,Облачно
822,2,Облачно
823,3,Пасмурно
824,3,Пасмурно
825,2,Облачно
826,2,Облачно
827,2,Облачно
828,3,Пасмурно
829,3,Пасмурно
830,3,Пасмурно
831,3,Пасмурно
832,3,Пасмурно
833,3,Пасмурно
834,3,Пасмурно
835,3,Пасмурно
836,3,Пасмурно
837,3,Пасмурно
838,3,Пасмурно
839,2,Облачно
840,2,Облачно
841,2,Облачно
842,1,Ясно
843,1,Ясно
844,4,Дождь
845,4,Дождь
846,4,Дождь
847,1,Ясно
848,1,Ясно
849,2,Облачно
850,2,Облачно
851,2,Облачно
852,2,Облачно
853,2,Облачно
854,2,Облачно
855,2,Облачно
856,2,Облачно
857,2,Облачно
858,3,Пасмурно
859,3,Пасмурно
860,2,Облачно
861,2,Облачно
862,1,Ясно
863,2,Облачно
864,2,Облачно
865,2,Облачно
866,4,Дождь
867,1,Ясно
868,2,Облачно
869,3,Пасмурно
870,3,Пасмурно
871,3,Пасмурно
872,2,Облачно
873,2,Облачно
874,1,Ясно
875,1,Ясно
876,1,Ясно
877,1,Ясно
878,4,Дождь
879,1,Ясно
880,2,Облачно
881,2,Облачно
882,2,Облачно
883,2,Облачно
884,2,Облачно
885,2,Облачно
886,2,Облачно
887,2,Облачно
888,2,Облачно
889,2,Облачно
890,2,Облачно
891,2,Облачно
892,2,Облачно
893,2,Облачно
894,2,Облачно
895,2,Облачно
896,2,Облачно
897,2,Облачно
898,2,Облачно
899,2,Облачно
900,2,Облачно
901,3,Пасмурно
902,3,Пасмурно
903,1,Ясно
904,3,Пасмурно
905,3,Пасмурно
906,3,Пасмурно
907,3,Пасмурно
908,3,Пасмурно
909,3,Пасмурно
910,3,Пасмурно
911,4,Дождь
912,4,Дождь
913,4,Дождь
914,4,Дождь
915,3,Пасмурно
916,1,Ясно
917,4,Дождь
918,4,Дождь
919,4,Дождь
920,4,Дождь
921,4,Дождь
922,4,Дождь
923,4,Дождь
924,4,Дождь
925,4,Дождь
926,4,Дождь
927,4,Дождь
928,4,Дождь
929,4,Дождь
930,4,Дождь
931,2,Облачно
932,4,Дождь
933,2,Облачно
934,2,Облачно
935,2,Облачно
936,2,Облачно
937,2,Облачно
938,2,Облачно
939,2,Облачно
940,2,Облачно
941,2,Облачно
942,2,Облачно
943,2,Облачно
944,2,Облачно
945,2,Облачно
946,2,Облачно
947,2,Облачно
948,2,Облачно
949,2,Облачно
950,2,Облачно
951,2,Облачно
952,4,Дождь
953,4,Дождь
954,4,Дождь
955,2,Облачно
956,2,Облачно
957,2,Облачно
958,2,Облачно
959,2,Облачно
960,1,Ясно
961,2,Облачно
962,2,Облачно
963,2,Облачно
964,3,Пасмурно
965,3,Пасмурно
966,3,Пасмурно
967,3,Пасмурно
968,3,Пасмурно
969,3,Пасмурно
970,3,Пасмурно
971,3,Пасмурно
972,3,Пасмурно
973,3,Пасмурно
974,3,Пасмурно
975,3,Пасмурно
976,3,Пасмурно
977,3,Пасмурно
978,3,Пасмурно
979,3,Пасмурно
980,2,Облачно
981,3,Пасмурно
982,3,Пасмурно
983,3,Пасмурно
984,3,Пасмурно
985,3,Пасмурно
986,2,Облачно
987,2,Облачно
988,2,Облачно
989,2,Облачно
990,2,Облачно
991,3,Пасмурно
992,3,Пасмурно
993,2,Облачно
994,2,Облачно
995,3,Пасмурно
996,1,Ясно
997,2,Облачно
998,3,Пасмурно
999,3,Пасмурно
1000,4,Дождь
1001,4,Дождь
1002,4,Дождь
1003,4,Дождь
1004,2,Облачно
1005,2,Облачно
1006,2,Облачно
1007,2,Облачно
1008,2,Облачно
1009,2,Облачно
1010,1,Ясно
1011,1,Ясно
1012,1,Ясно
1013,1,Ясно
1014,1,Ясно
1015,4,Дождь
1016,2,Облачно
1017,4,Дождь
1018,4,Дождь
1019,1,Ясно
1020,1,Ясно
1021,1,Ясно
1022,1,Ясно
1023,3,Пасмурно
1024,3,Пасмурно
1025,3,Пасмурно
1026,3,Пасмурно
1027,2,Облачно
1028,2,Облачно
1029,4,Дождь
1030,4,Дождь
1031,3,Пасмурно
1032,4,Дождь
1033,4,Дождь
1034,4,Дождь
1035,4,Дождь
1036,4,Дождь
1037,4,Дождь
1038,4,Дождь
1039,4,Дождь
1040,4,Дождь
1041,4,Дождь
1042,4,Дождь
1043,4,Дождь
1044,4,Дождь
1045,4,Дождь
1046,2,Облачно
1047,2,Облачно
1048,2,Облачно
1049,2,Облачно
1050,2,Облачно
1051,2,Облачно
1052,2,Облачно
1053,1,Ясно
1054,4,Дождь
1055,4,Дождь
1056,4,Дождь
1057,2,Облачно
1058,1,Ясно
1059,3,Пасмурно
1060,2,Облачно
1061,4,Дождь
1062,1,Ясно
1063,1,Ясно
1064,3,Пасмурно
1065,3,Пасмурно
1066,3,Пасмурно
1067,2,Облачно
1068,2,Облачно
1069,2,Облачно
1070,1,Ясно
1071,1,Ясно
1072,1,Ясно
1073,2,Облачно
1074,2,Облачно
1075,2,Облачно
1076,3,Пасмурно
1077,3,Пасмурно
1078,3,Пасмурно
1079,3,Пасмурно
1080,3,Пасмурно
1081,3,Пасмурно
1082,3,Пасмурно
1083,3,Пасмурно
1084,3,Пасмурно
1085,3,Пасмурно
1086,3,Пасмурно
1087,3,Пасмурно
1088,3,Пасмурно
1089,3,Пасмурно
1090,3,Пасмурно
1091,3,Пасмурно
1092,3,Пасмурно
1093,3,Пасмурно
1094,3,Пасмурно
1095,2,Облачно
1096,2,Облачно
1097,2,Облачно
1098,3,Пасмурно
1099,1,Ясно
1100,1,Ясно
1101,1,Ясно
1102,2,Облачно
1103,2,Облачно
1104,3,Пасмурно
1105,3,Пасмурно
1106,3,Пасмурно
1107,4,Дождь
1108,3,Пасмурно
1109,3,Пасмурно
1110,3,Пасмурно
1111,2,Облачно
1112,2,Облачно
1113,2,Облачно
1114,2,Облачно
1115,2,Облачно
1116,2,Облачно
1117,2,Облачно
1118,3,Пасмурно
1119,3,Пасмурно
1120,4,Дождь
1121,4,Дождь
1122,4,Дождь
1123,4,Дождь
1124,1,Ясно
1125,1,Ясно
1126,1,Ясно
1127,1,Ясно
1128,1,Ясно
1129,3,Пасмурно
1130,3,Пасмурно
1131,2,Облачно
1132,3,Пасмурно
1133,1,Ясно
1134,1,Ясно
1135,2,Облачно
1136,2,Облачно
1137,2,Облачно
1138,2,Облачно
1139,2,Облачно
1140,2,Облачно
1141,2,Облачно
1142,2,Облачно
1143,1,Ясно
1144,1,Ясно
1145,1,Ясно
1146,1,Ясно
1147,2,Облачно
1148,2,Облачно
1149,2,Облачно
1150,2,Облачно
1151,2,Облачно
1152,3,Пасмурно
1153,3,Пасмурно
1154,3,Пасмурно
1155,4,Дождь
1156,4,Дождь
1157,4,Дождь
1158,3,Пасмурно
1159,2,Облачно
1160,2,Облачно
1161,2,Облачно
1162,4,Дождь
1163,3,Пасмурно
1164,3,Пасмурно
1165,3,Пасмурно
1166,3,Пасмурно
1167,3,Пасмурно
1168,3,Пасмурно
1169,2,Облачно
1170,2,Облачно
1171,1,Ясно
1172,1,Ясно
1173,3,Пасмурно
1174,3,Пасмурно
1175,3,Пасмурно
1176,3,Пасмурно
1177,3,Пасмурно
1178,3,Пасмурно
1179,2,Облачно
1180,2,Облачно
1181,2,Облачно
1182,2,Облачно
1183,2,Облачно
1184,2,Облачно
1185,2,Облачно
1186,2,Облачно
1187,1,Ясно
1188,1,Ясно
1189,4,Дождь
1190,4,Дождь
1191,2,Облачно
1192,4,Дождь
1193,4,Дождь
1194,4,Дождь
1195,4,Дождь
1196,4,Дождь
1197,4,Дождь
1198,4,Дождь
1199,2,Облачно
1200,3,Пасмурно
1201,3,Пасмурно
1202,3,Пасмурно
1203,3,Пасмурно
1204,3,Пасмурно
1205,3,Пасмурно
1206,3,Пасмурно
1207,3,Пасмурно
1208,3,Пасмурно
1209,3,Пасмурно
1210,3,Пасмурно
1211,3,Пасмурно
1212,3,Пасмурно
1213,2,Облачно
1214,3,Пасмурно
1215,3,Пасмурно
1216,4,Дождь
1217,4,Дождь
1218,3,Пасмурно
1219,3,Пасмурно
1220,3,Пасмурно
1221,3,Пасмурно
1222,3,Пасмурно
1223,4,Дождь
1224,4,Дождь
1225,3,Пасмурно
1226,3,Пасмурно
1227,3,Пасмурно
1228,2,Облачно
1229,3,Пасмурно
1230,3,Пасмурно
1231,1,Ясно
1232,1,Ясно
1233,1,Ясно
1234,1,Ясно
1235,1,Ясно
1236,1,Ясно
1237,4,Дождь
1238,4,Дождь
1239,4,Дождь
1240,4,Дождь
1241,4,Дождь
1242,4,Дождь
1243,4,Дождь
1244,1,Ясно
1245,1,Ясно
1246,1,Ясно
1247,1,Ясно
1248,1,Ясно
1249,3,Пасмурно
1250,3,Пасмурно
1251,3,Пасмурно
1252,3,Пасмурно
1253,3,Пасмурно
1254,3,Пасмурно
1255,3,Пасмурно
1256,3,Пасмурно
1257,3,Пасмурно
1258,3,Пасмурно
1259,1,Ясно
1260,1,Ясно
1261,2,Облачно
1262,1,Ясно
1263,3,Пасмурно
1264,3,Пасмурно
1265,3,Пасмурно
1266,3,Пасмурно
1267,3,Пасмурно
1268,3,Пасмурно
1269,3,Пасмурно
1270,3,Пасмурно
1271,4,Дождь
1272,1,Ясно
1273,1,Ясно
1274,1,Ясно
1275,2,Облачно
1276,3,Пасмурно
1277,3,Пасмурно
1278,3,Пасмурно
1279,3,Пасмурно
1280,3,Пасмурно
1281,3,Пасмурно
1282,4,Дождь
1283,4,Дождь
1284,4,Дождь
1285,4,Дождь
1286,4,Дождь
1287,4,Дождь
1288,1,Ясно
1289,1,Ясно
1290,1,Ясно
1291,1,Ясно
1292,1,Ясно
1293,2,Облачно
1294,2,Облачно
1295,3,Пасмурно
1296,3,Пасмурно
1297,3,Пасмурно
1298,3,Пасмурно
1299,3,Пасмурно
1300,3,Пасмурно
1301,3,Пасмурно
1302,3,Пасмурно
1303,3,Пасмурно
1304,3,Пасмурно
1305,3,Пасмурно
1306,3,Пасмурно
1307,3,Пасмурно
1308,4,Дождь
1309,4,Дождь
1310,4,Дождь
1311,4,Дождь
1312,4,Дождь
1313,4,Дождь
1314,4,Дождь
1315,4,Дождь
1316,3,Пасмурно
1317,3,Пасмурно
1318,2,Облачно
1319,1,Ясно
1320,3,Пасмурно
1321,1,Ясно
1322,1,Ясно
1323,1,Ясно
1324,4,Дождь
1325,3,Пасмурно
1326,3,Пасмурно
1327,3,Пасмурно
1328,3,Пасмурно
1329,3,Пасмурно
1330,3,Пасмурно
1331,3,Пасмурно
1332,3,Пасмурно
1333,2,Облачно
1334,2,Облачно
1335,2,Облачно
1336,2,Облачно
1337,3,Пасмурно
1338,3,Пасмурно
1339,3,Пасмурно
1340,3,Пасмурно
1341,3,Пасмурно
1342,3,Пасмурно
1343,2,Облачно
1344,1,Ясно
1345,1,Ясно
1346,1,Ясно
1347,1,Ясно
1348,1,Ясно
1349,2,Облачно
1350,2,Облачно
1351,2,Облачно
1352,2,Облачно
1353,2,Облачно
1354,2,Облачно
1355,2,Облачно
1356,2,Облачно
1357,2,Облачно
1358,3,Пасмурно
1359,3,Пасмурно
1360,2,Облачно
1361,2,Облачно
1362,2,Облачно
1363,2,Облачно
1364,2,Облачно
1365,3,Пасмурно
1366,3,Пасмурно
1367,3,Пасмурно
1368,3,Пасмурно
1369,3,Пасмурно
1370,3,Пасмурно
1371,3,Пасмурно
1372,3,Пасмурно
1373,1,Ясно
1374,1,Ясно
1375,2,Облачно
1376,3,Пасмурно
1377,3,Пасмурно
1378,3,Пасмурно
1379,3,Пасмурно
1380,4,Дождь
1381,4,Дождь
1382,4,Дождь
1383,3,Пасмурно
1384,3,Пасмурно
1385,3,Пасмурно
1386,2,Облачно
1387,2,Облачно
1388,2,Облачно
1389,2,Облачно
1390,2,Облачно
1391,4,Дождь
1392,4,Дождь
1393,4,Дождь
1394,2,Облачно
1395,2,Облачно
1396,2,Облачно
1397,2,Облачно
1398,2,Облачно
1399,2,Облачно
